"id","name","price","original_price","rating","filtration_capacity"
519,"FINPURE Purosis 9 L RO + UF + Minerals + Alkaline Water Purifier","13,950","24,999",NULL,"Filtration Capacity: 18 L/hr"
520,"AquaDpure 100 GPD RO Booster Pump Motor High-Efficiency with SMPS 24V DC,For 12 L RO + UV + UF + Miner...","1,599","2,399","2.5","NA"
521,"Musky By Aqua fresh mineral pot non electric (municipal water purifier) 16 L Gravity Based Water Purif...","918","2,999","3.5","ONE YEAR OFFSITE WARRANTY ON MANUFACTURING DEFECT. ALL ELECTRONIC PARTS (smps & motor) "
522,"Aquaguard Superio RO+UV+MTDS+ALKALINE+SS 5 L RO + UV + MTDS + SS Water Purifier","19,499","26,999",NULL,"Filtration Capacity: 15 L/hr"
523,"fedula Aqua pearl water purifier filter RO UV UF TDS Alkaline copper 10 L RO + UV + UF + Copper Guard ...","6,200","19,500",NULL,"Filtration Capacity: 15 L/hr"
524,"AQUA Aqu dolphin 9 L RO + UV + Alkaline Water Purifier","5,599","11,549",NULL,"Filtration Capacity: 9 L/hr"
525,"Hindware Elara 7 L RO + UV + UF + TDS Water Purifier Suitable for all - Borewell, Tanker, Municipality...","6,949","15,990","2.9","1 Year Warranty"
526,"star aqua AquaDream 13 L RO + UV + UF + Copper + TDS Control Water Purifier","8,099","15,000",NULL,"1"
527,"RUIQUAN Gravity Water Purifier 18 L Gravity Based + UF Water Purifier","1,234","2,199",NULL,"1 Year Manufacturer Warranty"
528,"EUREKA FORBES GWPDBLAZE30000 4 L RO + UV + MTDS + SS (AS) Water Purifier","21,000","38,000",NULL,"1"
529,"trypkon PLUTO 4 COPPER 12 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier","5,299","17,455","3.7","Filtration Capacity: 20 L/hr"
530,"NILE LEXONE SILVER 10 L UV + UF + Alkaline Water Purifier","11,800","18,000",NULL,"Filtration Capacity: 13 L/hr"
531,"Aqua Ace Copper + Alkaline RO Water Purifier With Goodness Of Copper 12 L RO + UV + UF + TDS + Copper ...","4,899","14,499",NULL,"Filtration Capacity: 12 L/hr"
532,"Aquaguard Mist NXT + inline suitable for municipal water (TDS up to 200 PPM). UV Water Purifier","6,700","14,000",NULL,"1 Year Domestic Warranty"
533,"AQUA Epic Model RO+UV+UF+TDS+Copper Filter 12 L RO + UV + UF + TDS Water Purifier","3,803","14,500","3.3","Filtration Capacity: 15 L/hr"
534,"DrinkPrime DrinkPrimeXOne 8 L RO + UF Water Purifier","399",NULL,NULL,"Free Maintenance during the tenure of the subscription"
535,"APD ARO+UV+UF+TDS+MINERAL WATER FILTER 12 L RO + UV + UF + TDS Water Purifier","15,500","16,500",NULL,"0"
536,"AQUA Pearl Alkaline 12 L RO + UV + MTDS + Alkaline Water Purifier","5,449","17,999",NULL,"Filtration Capacity: 20 L/hr"
537,"Aqua Ace 5 Stage water purifier 35 L UF Water Purifier","2,379","5,999",NULL,"1 Year Warranty On All Electric Parts I.e SMPS "
538,"KENT RO SUPER PLUS 8 ltr 8 L RO + UF + TDS Water Purifier","13,990","20,500",NULL,"one year all electric parts"
539,"Natures Aqua Grand Copper RO water purifier with Advance Technology Electric 12 L RO + UV + UF + TDS +...","3,399","12,500","4","Filtration Capacity: 12 L/hr"
540,"RUIQUAN AQUA LIV 12 L RO + UF + MIN + Alkaline + SS Water Purifier","3,588","16,999",NULL,"Filtration Capacity: 10 L/hr"
541,"Aqua Ace 67758557889 12 L RO + UV + MTDS + SS (AS) Water Purifier","999","1,599",NULL,"1 YEAR"
542,"LG WW140NPR+MINERAL BOOSTER 8 L RO Water Purifier","17,890","22,499","4.2","Filtration Capacity: 10 L/hr"
543,"Aqua Health India AHIDOLP 8 L RO + UV + UF + TDS + Mineral Water Purifier","3,520","11,000",NULL,"Filtration Capacity: 12 L/hr"
544,"G Series LPS001 12 L RO + UV + UF + Copper Guard + pH enhancer Water Purifier","17,990","21,990",NULL,"Company” warrants that the GSeries brand of Water Purifier – Electric Type “Product”"
545,"SAMTA Aqua 14 Stage 15 L RO + UV + UF + TDS Water Purifier","5,849","18,990","3.4","Filtration Capacity: 15 L/hr"
546,"Tata Swach 4387 10 L UF Water Purifier","1,999","2,000",NULL,"NA"
547,"blue bell SOLENOID VALVE 24V DC I 2 FREE CONN. FOR ALL COMPANIES  WATER PURIFIER 10000 L RO Water Puri...","599",NULL,"4","MANUFACTURING FOULT"
548,"Aquaguard 230402523002201 8.5 L RO + UV + UF + MTDS Water Purifier","19,000","20,200",NULL,"Filtration Capacity: 8.5 L/hr"
549,"LG WW140NPR 8 L RO Water Purifier","18,700","30,000",NULL,"1 Year Warranty"
550,"Aquaguard SURE CHAMP (2in1 Counter Top Or Wall MOunt Suitable for Water with TDS-2000ppm) 6 L RO + UV ...","8,390","8,999","3.7","1 YEAR MANUFACTURING WARRANTY"
551,"Aquaguard Blaze Slim Copper Stainless Steel Tank HOT & Ambient 4 L RO + UV + UF Water Purifier","22,740","38,000",NULL,"1 Year Domestic Warranty"
552,"Rama 304-Grade Steel with 7 inch Candles 4 Pcs 24 L Gravity Based Water Purifier","6,095","9,099",NULL,"1 Year Manufacturer Domestic Warranty on Electrical Parts Only excluding Membranes. Technician Visit"
553,"Aqua Fresh 7 stage NO taste change (MUNICIPLE WATER ONLY) COPPER+UV+UF+MINERAL Electric UV + UF Water ...","2,499","12,999","3.3","Filtration Capacity: 60 L/hr"
554,"AQUA DOVE AL Blue -SSUVUF10 12 L UV + UF Water Purifier","3,924","8,100","3.7","Replacement:Parts will be sent through courier. Customer courier the parts on seller address has customer cost.Technician visit will be chargeable if applicable"
555,"Grand plus NEW AUDI 12 L RO + UV + UF + TDS Water Purifier","3,799","16,500",NULL,"Filtration Capacity: 12 L/hr"
556,"MarQ by Flipkart Innopure Audi 15 L Needs no service for 3 years Unconditional Warranty 15 L RO + UV +...","9,999","16,500",NULL,"Filtration Capacity: 15 L/hr"
557,"KENT 11122 11 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier","19,590","23,500","3.3","1 YR WARRANTY "
558,"AQUA LIBRA AL-Feb-02 12 L RO + UF + UV + UV_LED + TDS Control Water Purifier","3,599","16,999",NULL,"Filtration Capacity: 14 L/hr"
559,"LIVPURE STEALTH 7 L RO + UV + Copper Water Purifier Under the Sink | Suitable for all - Borewell, Tank...","17,199","26,990","4","Filtration Capacity: 15 L/hr"
560,"Aqua Fresh ESC GOLDEN BLACK NEXT AUDI 12 L RO + UV + UF + Copper + TDS Control Water Purifier","3,899","16,500",NULL,"Filtration Capacity: 12 L/hr"
561,"Aqua Flow Enterprises Aquaflow Alfa Transparent 12 L RO + UF + UV + UV_LED + TDS Control Water Purifie...","4,999","15,999","3.8","Filtration Capacity: 15 L/hr"
562,"GE FILTRATION Kemlfow spun with Pre Filter bowl complete set 30000 L Gravity Based + UF Water Purifier","379","899",NULL,"0"
563,"Hydroshell 25 LPH commercial RO water purifier Plant 25 Liter Per Hour Blue Stainless steel Full Autom...","6,999","20,999",NULL,"Filtration Capacity: 25 L/hr"
564,"Kaveri AquaFresh Full White Storm Model 12 L RO + UV + UF + TDS + Copper Water Purifier","4,119","17,000",NULL,"Filtration Capacity: 12 L/hr"
565,"Aquagrand Skyland Combo | 1 Year Warranty | Copper and Alkaline Vitamin B12 | 18 L RO + UF + TDS + ALK...","3,989","17,500","3.9","Filtration Capacity: 18 L/hr"
566,"Kaveri Skyland Copper 18 L RO + UV + UF + TDS + Copper Water Purifier","4,179","16,600","4.3","Filtration Capacity: 18 L/hr"
567,"KENT ELITE (11008) RO + UF Water Purifier","32,000",NULL,"3","Filtration Capacity: 25 L/hr"
568,"AQUA DOVE ALW Purple SS UV UF 12 L UV + UF Water Purifier","4,284","7,850","3","Filtration Capacity: 12 L/hr"
569,"Grand plus AUDY 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,799","16,500","3.7",NULL
570,"GE FILTRATION Kemflow Filter(RCR), (pack of 6) 5000 L Gravity Based + UF Water Purifier","339","999",NULL,"Not Required"
571,"Tata Swach 9959 18 L RO + UV Water Purifier","2,599","2,699",NULL,"1"
572,"KENT PRIME PLUS 9 L RO + UV Water Purifier","20,300","20,500",NULL,"1"
573,"Aqua Fresh 7 Stage MUNICIPALWATER No taste change(NO R.O.) uv+uf+tds+mineral Electrical UV + UF + MIN ...","2,999","13,999","3.6","Filtration Capacity: 30 L/hr"
574,"Aquaguard Astor With Alkaline Boost Technology 6.2 L RO + UV + MTDS + Alkaline Water Purifier","16,499","22,190","3.4","1 year warranty"
575,"Blue Mount IDOL_STAR . 18 L Gravity Based Water Purifier","1,398","1,899","3.1","Filtration Capacity: 20 L/hr"
576,"SAMTA wall mount Open RO UV UF TDS adjuster RO + UV + UF + TDS Water Purifier","4,499","10,990","3.9","Filtration Capacity: 15 L/hr"
577,"Aquaguard CLASSIC AG 200  6000 L UV Water Purifier","14,750","16,500","2.3","COMPREHENSIVE"
578,"RUIQUAN EDGE FRESH 10 L RO + UV + UF + Alkaline Water Purifier","4,598","19,999",NULL,"Filtration Capacity: 10 L/hr"
579,"AquaDart Premium Alkaline Water Purifier With Japanese UV Lamp And High 3000 TDS Membrane 12 L RO + UV...","5,199","15,999","3.7","Filtration Capacity: 12 L/hr"
580,"Tata Swach 21 18 L Gravity Based Water Purifier","2,399","2,999",NULL,"1 Year"
581,"Pureness Aqua mars 9 L RO + UV + UF + TDS + Copper Water Purifier","6,789","16,999",NULL,"Filtration Capacity: 15 L/hr"
582,"MarQ by Flipkart IQUBE I Needs no service for 3 years Unconditional Warranty 12 L RO + UV + UF + TDS +...","9,999","16,500","2.3","Filtration Capacity: 12 L/hr"
583,"Apeiron Water Purifier With Ceramic Candle 21 L Gravity Based Water Purifier","2,196",NULL,"3.3","NA"
584,"Marchio New Aqua 12 L RO + UV + CU Guard + Alkaline Enhancer + Mineral Water Purifier","4,299","14,999",NULL,"Filtration Capacity: 12 L/hr"
585,"Aqua Ace Alkaline + ORP with Active Copper + RO + UV + UF + TDS Controller/Adjuster 12 L RO + UV + UF ...","4,699","18,499","3.9","Filtration Capacity: 12 L/hr"
586,"KENT PRIDE+ (WITH TANK UV) 8 L RO + UV + UF + TDS Water Purifier","19,000","20,000","4.4","1 year warranty provided by the manufacturer from date of purchase and 3 Years free service"
587,"AquaDpure Copper + Alkaline RO Water Purifier with TDS up to 2000 ppm 12 L RO + UV + UF + Copper + TDS...","4,849","23,999",NULL,"Filtration Capacity: 12 L/hr"
588,"Kaveri AquaFresh Full White Storm Model 12 L RO + UV + UF + TDS Water Purifier","4,195","17,500",NULL,"Filtration Capacity: 12 L/hr"
589,"AquaActive Hot Normal Cold Water Purifier100GPDRO+PH+UV+TDS+MI+Iron Removar+Alkaline 10 L RO + UV + Mi...","12,830","34,000",NULL,"Filtration Capacity: 12 L/hr"
590,"Aqua Ace Alkaline + ORP with Active Copper + RO + UV + UF + TDS Controller/Adjuster 12 L RO + UV + UF ...","4,299","14,199","3.9","1 Year Warranty On All Electric Parts I.e Booster Pump & SMPS "
591,"AQUA LIBRA AL-FEB/14-04 12 L RO + UF + UV + UV_LED + TDS Control Water Purifier","6,499","14,999",NULL,"Filtration Capacity: 12 L/hr"
592,"AquaDart 25 LPH Commercial Ro Water Purifier Plant Full Stainless Steel Body 25 L RO Water Purifier","5,999","29,999",NULL,"1 Year Warrenty On All Electric Parts I.e Booster Pump & SMPS "
593,"Beyond water 3 Stage Gravity Base Filter Without RO For Municipal Water With Active Carbon & UV Water ...","1,424","2,999",NULL,"Filtration Capacity: 25 L/hr"
594,"Zero B Surakhsa Non Electric Gravity Base Disinfects Vegetables, Drinking 7500 L Gravity Based Water P...","699",NULL,"3.8","Filtration Capacity: 120 L/hr"
595,"Remino ISO Approved Aqua Copper Ro Water Purifier 12 L RO + UV + UF + TDS Water Purifier","3,999","19,999",NULL,"Filtration Capacity: 12 L/hr"
596,"CUCKOO CP-FRP601SW 6.3 L RO Water Purifier","42,999","47,990","1","Filtration Capacity: 15 L/hr"
597,"GE FILTRATION Kemflow with Pre Filter bowl set 40000 L Gravity Based + UF Water Purifier","380","899",NULL,"Not Required"
598,"Hindware ELARA 7 L RO + UV Water Purifier","6,949","14,999","3.9","1 Year Comprehensive Warranty from the Date of Installation (6 Months for All Filters and 1 Year for R.O Membrane)"
599,"AO Smith 23508616830. 5 L RO Water Purifier","17,500","20,000",NULL,"1"
600,"Tata Swach BD-ALX-001 12 L RO + UF Water Purifier","4,750","5,100",NULL,"6 month"
601,"ZENPURE CLARE 15 L RO + UV + UF + TDS + Alkaline Water Purifier","6,174","24,990",NULL,"Filtration Capacity: 15 L/hr"
602,"GE FILTRATION Vontron 80 GPD membrane with 4 pcs Kemflo outer filter 2500 L RO + UV + UF + Minerals Wa...","559","1,299","3","Not Required"
603,"LIVPURE LIV-BOLT-COPPER-UV 7 L UV + UF Water Purifier","9,490","13,990","2.8","Filtration Capacity: 60 L/hr"
604,"Aquaguard Copper Crest Inline UV Water Purifier","9,390","15,990","3.2","1 Year Comprehensive Domestic Warranty"
605,"Grand plus ro uv uf tds+copper 12 ltr water filter 12 L RO + UV + UF + Copper + TDS Control Water Puri...","3,799","16,500","3.8","Filtration Capacity: 14 L/hr"
606,"Tata Swach grand plus 100 L Gravity Based Water Purifier","2,500","3,000",NULL,"1 year"
607,"Apeiron Water Purifier With Carbon Candle 24 L Gravity Based Water Purifier","2,199","3,399","3.3","NA"
608,"BALRAMA RO Tap Tutti Faucet HUL Pureit Gravity & Pure It Classic Electric Water Purifier Gravity Based...","399","1,000",NULL,"0"
609,"AQUA DOVE AL Purple -SSUVUF10 12 L UV + UF Water Purifier","4,023","7,750","3.2","Replacement:Parts will be sent through courier. Customer courier the parts on seller address has customer cost.Technician visit will be chargeable if applicable"
610,"GE FILTRATION Ge RO Purifier Digital TDS Meter 10000 L RO + UV + UF + Minerals + Alkaline Water Purifi...","299","799","3.7","NA"
611,"Apeiron Water Purifier With Carbon Candle 16 L Gravity Based Water Purifier","1,279","2,299","3.5","NA"
612,"Aqua Ace 12 L Copper RO Water Purifier Goodness of Copper 12 L RO + UV + UF + Copper + TDS Control Wat...","3,499","14,999",NULL,"Filtration Capacity: 12 L/hr"
613,"AquaDpure RO Water Purifier with Bio Copper & Alkaline Fiter 12 L RO + UV + UF + TDS + ALK + Copper Wa...","4,139","24,999",NULL,"Filtration Capacity: 12 L/hr"
614,"AquaDpure WSK-1 RO Water Purifier","379","799",NULL,"NA"
615,"AquaDart Mineral RO Water Purifier With Japanese UV Lamp And High 3000 TDS Membrane 12 L RO + UV + UF ...","4,799","19,999","3.3","Filtration Capacity: 12 L/hr"
616,"GE FILTRATION Purerite Kemflo Filter spun 10inch with Spanner (pack of 5) 6000 L UF Water Purifier","309","1,299",NULL,"not required"
617,"AquaDpure Commercial  Water Purifier Plant Full Stainless Steel With TDS Adjuster 25 L RO Water Purifi...","6,799","24,999",NULL,"Filtration Capacity: 25 L/hr"
618,"AquaDart Copper + Mineral Ro Water Purifier with Copper Charge Technology 12 L RO + UV + UF + Copper +...","4,799","14,499","4.1","Filtration Capacity: 12 L/hr"
619,"Marchio Aqua Grand Ro Water Purifier With UF 12 L UV + UF Water Purifier","2,849","9,999","2","Filtration Capacity: 12 L/hr"
620,"RUIQUAN Gravity Water Purifier  Technology Based | Non-Electric & Chemical Free 20 L UF Water Purifier","2,599","3,599","2.9","Filtration Capacity: 15 L/hr"
621,"Jet Aqua Z-PLUS White Alkaline 10 L RO + UV + UF + Minerals Water Purifier","16,000",NULL,NULL,"ONE YEAR OFFSITE WARRANTY"
622,"Tata Swach 5653 5 L Gravity Based + EAT Water Purifier","1,500","1,600",NULL,"1"
623,"Musky By Aqua fresh mineral pot non electric (municipal water purifier) 16 L Gravity Based Water Purif...","918","2,999","2","ONE YEAR OFFSITE WARRANTY ON MANUFACTURING DEFECT. ALL ELECTRONIC PARTS (smps & motor) "
624,"Natures Aqua Grand Plus RO + UF + UV + TDS Control 12 Leter Water Purifier 12 L RO + UV + UF + TDS + M...","3,274","14,999","3.3","Filtration Capacity: 12 L/hr"
625,"Hi Tech 001 93 L RO + TDS Water Purifier","8,500","9,990",NULL,"Filtration Capacity: 10 L/hr"
626,"Musky By Aqua fresh mineral pot non electric (municipal water purifier) 16 L Gravity Based Water Purif...","918","2,999","2.7","ONE YEAR OFFSITE WARRANTY ON MANUFACTURING DEFECT. ALL ELECTRONIC PARTS (smps & motor) "
627,"Musky By Aqua fresh mineral pot non electric (municipal water purifier) 16 L Gravity Based Water Purif...","918","2,999","2","ONE YEAR OFFSITE WARRANTY ON MANUFACTURING DEFECT. ALL ELECTRONIC PARTS (smps & motor) "
628,"Aquaultra Ultra | best suitable for Homes and office | 1 year warranty | ISI Certified 9 L RO + UV + U...","4,190","15,500",NULL,"Filtration Capacity: 15 L/hr"
629,"AO Smith IG10082RZBHNO 10 L RO Water Purifier","21,999","29,000",NULL,"1"
630,"Rama Gravity Water Filter 12-Litre Storage Includes 2 Carbon Candles and Plastic Tap 12 L Gravity Base...","4,320","6,899","2.7","Warranty Covers Only For Stainless Steel Housing"
631,"INDEUR Classic Mineral RO Water Purifier Purification Fully Automatic Function 10 L RO + UV + UF + TDS...","4,349","17,999",NULL,"Filtration Capacity: 15 L/hr"
632,"Pureit Vital 6 L RO + UV + Minerals Water Purifier Suitable for all - Borewell, Tanker, Municipality W...","12,999","19,999","4.5","Filtration Capacity: 24 L/hr"
633,"Aquafresh smokeXcrux 14 L RO + UV + UF + TDS Control + UV in Tank + Copper Water Purifier with Prefilt...","4,087","16,500","3.7",NULL
634,"AquaActive MistyRO75UVPFBlack 10 L RO + UV Water Purifier","7,380","21,600","2.9","Filtration Capacity: 14 L/hr"
635,"GE FILTRATION Digital TDS Meter 50000 L RO + UV + UF + Minerals + Alkaline Water Purifier","309","699",NULL,"not required"
636,"Always Swift Copper 7 Stage Water Puriffication 15 L RO + UV + UF + Copper + TDS Control Water Purifie...","3,626","13,500","4.3","1 Year offsite warranty on all   electronic parts"
637,"Kinsco Aqua Moon 13 L RO + UV + UF + Copper + TDS Control Water Purifier with Prefilter","3,999","20,000","4.1","Filtration Capacity: 15 L/hr"
638,"MarQ by Flipkart Innopure Audi 15 L RO + UV + UF + TDS + Copper Water Purifier with Pre filter and BIS...","4,199","16,500","4","Filtration Capacity: 10 L/hr"
639,"KENT Ace Star 8 L RO + UV + UF + TDS Water Purifier 4 year Free Service","16,999","21,500","4.4","1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge"
640,"Pureit Vital 6 L RO + UV + Minerals Water Purifier Suitable for all - Borewell, Tanker, Municipality W...","12,499","19,999","4.5","Filtration Capacity: 24 L/hr"
641,"LIVPURE liv-pep-pro+(white) 7 L RO + UV Water Purifier","9,999","15,490","4.3","1 Year Warranty"
642,"V-Guard Rejive RO+UV+MIN+SS 5 L RO + UV + MIN + SS Water Purifier Minerals, with Stainless Steel Stora...","14,199","22,049","4.3","Filtration Capacity: 15 L/hr"
643,"Aqua Fresh OPEL Model Copper 18 L RO + UV + UF + TDS Water Purifier with Prefilter","3,999","16,500","4","Filtration Capacity: 18 L/hr"
644,"Aqua Frisch Storm Black Copper With ORP+ Alkaline +Ro+Uf+Tds Adjuster 12 Stage 12 L RO Water Purifier","4,399","12,999","4.3","Filtration Capacity: 15 L/hr"
645,"Keel RED SWIFT 15 L RO + UV + UF + TDS Water Purifier","3,999","16,500","4","Filtration Capacity: 15 L/hr"
646,"Keel AUDI 10 L RO + UV + UF + TDS Water Purifier","4,299","16,500","5","Filtration Capacity: 10 L/hr"
647,"Pureit Copper UV Water Purifier Suitable only for Municipality Water Supply","8,999","14,499","4.1","Filtration Capacity: 114 L/hr"
648,"Aqua Fresh NILE black LED ZINC+COPPER+BIO+RO+UV+UF+TDS electric borewell/Municiple 10 L RO + UV + UF +...","5,299","19,999","3.6","Filtration Capacity: 12 L/hr"
649,"Eureka Forbes Aquasure from Aquaguard Desire 7 L RO + MC Water Purifier Suitable for all - Borewell, T...","8,999","13,000","4.1","Filtration Capacity: 15 L/hr"
650,"Blair ALTIS COPPER 13 L RO + UV + UF + TDS Water Purifier","3,803","19,990","4","Filtration Capacity: 15 L/hr"
651,"MarQ by Flipkart AQUA BIZ BLACK TPT 12 L RO + UV + UF + TDS + ALK + Copper Water Purifier with Pre fil...","4,199","16,500","4","Filtration Capacity: 10 L/hr"
652,"Aqua Frisch Storm Black Copper +Orp+AAA Alkaline 12 L RO + UV + UF + Copper Guard + pH enhancer Water ...","9,999","20,000","4","Filtration Capacity: 15 L/hr"
653,"Aqua Fresh White diamond 12 Ltrs + water filter 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,799","16,500","4.1","Filtration Capacity: 12 L/hr"
654,"Aquafresh Black gold camry 12 Ltrs + copper filter 13 L RO + UV + UF + Copper + TDS Control Water Puri...","4,199","16,500","4","Filtration Capacity: 20 L/hr"
655,"V-Guard REJIVE RO+UF+MIN+SS 5 L RO + UF + MIN + SS Water Purifier Minerals, with Stainless Steel Stora...","12,499","19,549","4.3","Filtration Capacity: 15 L/hr"
656,"Midea MWPRU080SL7 Dura Preserve Replaceable Steel Tank 8 L RO + UV Water Purifier","15,499","21,990","4.4","Filtration Capacity: 12 L/hr"
657,"Grand plus ro uv uf tds+copper 15 ltr water filter 15 L RO + UV + UF + Copper + TDS Control Water Puri...","4,299","16,500","2.7","Filtration Capacity: 14 L/hr"
658,"FABER Altroz with Heavy Duty Membrane Upto 3000 TDS 10 L RO + UV + MAT Water Purifier","12,999","21,990","4.1","Filtration Capacity: 13.5 L/hr"
659,"Aqua Fresh MINERAL POT MUNICIPLE WATER NO TASTE CHANGE 16 L Gravity Based Water Purifier","918","2,999","3.8","WARRANTY ON MANUFACTURING DEFECT"
660,"LIVPURE Linea Copper 5 L RO + UV + UF Water Purifier","11,999","19,690","4","Filtration Capacity: 12 L/hr"
661,"Pureit by HUL Wave Plus 7 L RO + UV + Minerals Water Purifier Suitable for all - Borewell, Tanker, Mun...","7,999","13,499","4.4","1 Year Warranty"
662,"Aqua Fresh Omega Crux Tpt 12 L RO + UV + UF + TDS Water Purifier","4,299","16,500","3.7","Filtration Capacity: 10 L/hr"
663,"Hindware WR-18071UFN 7 L RO + UV + UF Water Purifier Suitable for all - Borewell, Tanker, Municipality...","5,999","14,990","3.9","Filtration Capacity: 12 L/hr"
664,"R.K. AQUA FRESH INDIA 25LPH STAINLESS STEEL DOMESTIC PLANT RO Water Purifier","7,806","19,999","3.5","Filtration Capacity: 25 L/hr"
665,"V-Guard Requpro High Recovery RO with Stainless Steel Tank, 3X Water Saving 5.5 L RO + UV + UF + Miner...","14,999","29,199","4.3","Filtration Capacity: 20 L/hr"
666,"Midea MWP080AI6 Antibacterial Replaceable Tank 8 L RO Water Purifier","11,999","17,990","3.8","Filtration Capacity: 12 L/hr"
667,"Aqua Fresh Omega Red Swift+Ro+Uv+Uf+Tds 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500","3.8","Filtration Capacity: 10 L/hr"
668,"Pureit Wave Pro 7 L RO + MF + UV in Tank + Minerals Water Purifier Suitable for all - Borewell, Tanker...","8,999","14,999","4.4","1 Year Warranty"
669,"AquaDpure Water Purifier With Active Copper + Alkaline RO+UV+UF+TDS Water Filter for Home 12 L RO + UV...","4,949","15,999","4.1","Filtration Capacity: 12 L/hr"
670,"Midea MWPRU080AL7 Antibacterial Replaceable Tank 8 L RO + UV Water Purifier","13,999","19,990","3.7","Filtration Capacity: 12 L/hr"
671,"R.K. AQUA FRESH INDIA BIO+++ ALKALINE PURIFICATION 12 L RO + UF + UV + UV_LED + TDS Control Water Puri...","4,589","16,999","3.9","6Month Warranty On All Electronic Parts Except Uv Lamp"
672,"AQUA Epic White With Copper filter and Alkaline Vitamin B12 Filter 15 L RO + UF + Minerals + Copper Wa...","3,882","14,500","4.2","Filtration Capacity: 15 L/hr"
673,"Aqua Fresh Swift model 12 L RO + UV + UF + TDS Water Purifier","3,999","13,500","3.6",NULL
674,"CUCKOO Platina 7.5 L RO + UV Water Purifier Suitable for all - Borewell, Tanker, Municipality Water","14,499","20,990","3.9","Filtration Capacity: 21 L/hr"
675,"R.K. AQUA FRESH INDIA Novo Advanced 12Ltrs 14Stage 10 L RO + UV + UF Water Purifier","4,006","14,999","3.9","Filtration Capacity: 10 L/hr"
676,"Blue Star Majesto 8 L RO + UV Water Purifier","13,499","17,900","4.1","1 Year Warranty"
677,"Aquatec Plus Advanced Alkaline 12 L RO + UV + UF + TDS Water Purifier","7,690","15,999","4.3","Filtration Capacity: 15 L/hr"
678,"Keel Mineral Ro black Camry 12 ltr + Water Filter 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500","3.6","Filtration Capacity: 20 L/hr"
679,"Aqua Fresh Black camry 12 Ltrs + water filter 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500","4","Filtration Capacity: 12 L/hr"
680,"Keel COPPER AUDI 10 L RO + UV + UF + TDS + Copper Water Purifier with Prefilter","3,999","16,500","3.7","Filtration Capacity: 10 L/hr"
681,"Moonbow by Hindware Achelous 9 L RO + UV + UF + TDS Water Purifier","13,999","16,990","3.7","Filtration Capacity: 15 L/hr"
682,"Carrier Midea MWPRU080AL7 Antibacterial Replaceable Tank 8 L RO + UV Water Purifier","14,799","19,990","3.5","Filtration Capacity: 12 L"
683,"AO Smith X4 9 L RO Water Purifier","10,999","16,750","4.2","Filtration Capacity: 15 L/hr"
684,"BRITA Marella XL 3.5 L Gravity Based Water Purifier","1,998","2,499","4.4","NA"
685,"Always Aqua 12 L RO + UV + UF + TDS + Acitive Copper & Zinc Booster Water Purifier 12 L RO + UV + UF +...","5,276","15,500","4.2","Filtration Capacity: 15 L/hr"
686,"V-Guard Requpro High Recovery RO with Stainless Steel Tank, 3X Water Saving & Copper 5.5 L RO + UV + U...","18,999","33,349","4.3","Filtration Capacity: 20 L/hr"
687,"Keel Mineral Ro Copper Swift 15 ltr + Water Filter 15 L RO + UV + UF + TDS Water Purifier with Prefilt...","3,799","16,500","3.8","Filtration Capacity: 20 L/hr"
688,"Moonbow by Hindware Achelous Premium 7 L RO + UV Water Purifier","17,999","21,490","3.5","Filtration Capacity: 12 L/hr"
689,"Pureit Wave Prime 7 L RO + MF Water Purifier Suitable for all - Borewell, Tanker, Municipality Water","7,599","11,999","4.5","1 Year Warranty"
690,"Aqua Fresh AquaXcrux smoke 14ltr + water Filter 14 L RO + UV + UF + TDS Water Purifier with Prefilter","4,089","16,500","4","Filtration Capacity: 20 L/hr"
691,"Keel STYLISH COPPER CAMRY 7 L RO + UV + UF Water Purifier with Taste Enhancer 10 L RO + UV + UF + TDS ...","3,999","16,500","3.9","Filtration Capacity: 10 L/hr"
692,"Pureit by HUL Marvella with Fruit and Veg Purifier 8 L RO + MF Water Purifier","13,499","18,500","4.2","Filtration Capacity: 12 L/hr"
693,"Aquafresh White camary 12 Ltrs + copper filter 13 L RO + UV + UF + Copper + TDS Control Water Purifier...","4,199","16,500","3.8","Filtration Capacity: 20 L/hr"
694,"Grand plus AQUA TPT 14 STAGE 15 L RO + UV + UF + TDS Water Purifier with Prefilter","3,799","16,500","4","Filtration Capacity: 15 L/hr"
695,"aquadeal MIRACLE ACTIVE COPPER Mineral RO+UV+UF+TDS 15 L RO + UV + UF + TDS Water Purifier","4,449","16,999","4.2","Filtration Capacity: 15 L/hr"
696,"Keel Mineral Ro Audi 12 ltr + Water Filter 12 L RO + UV + UF + TDS Water Purifier","3,999","16,500","4.2","Filtration Capacity: 20 L/hr"
697,"AQUA SkyLand 18 Ltr Model Mineral 18 L RO + UV + UF + TDS Water Purifier","3,871","14,500","4.3","Filtration Capacity: 18 L/hr"
